variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_AgeOfWonder_Measurements.skinfold.aow_recruitment_id,BiB_AgeOfWonder_Measurements.skinfold,BiB_AgeOfWonder_Measurements,skinfold,aow_recruitment_id,Age of Wonder recruitment ID,text,,administration,6575,6575
BiB_AgeOfWonder_Measurements.skinfold.aow_person_id,BiB_AgeOfWonder_Measurements.skinfold,BiB_AgeOfWonder_Measurements,skinfold,aow_person_id,Age of Wonder person ID,text,,administration,6575,6575
BiB_AgeOfWonder_Measurements.skinfold.BiBPersonID,BiB_AgeOfWonder_Measurements.skinfold,BiB_AgeOfWonder_Measurements,skinfold,BiBPersonID,BiB cohort person ID,text,,administration,6575,6575
BiB_AgeOfWonder_Measurements.skinfold.is_bib,BiB_AgeOfWonder_Measurements.skinfold,BiB_AgeOfWonder_Measurements,skinfold,is_bib,Participant is in original BiB cohort,integer,,administration,6575,6575
BiB_AgeOfWonder_Measurements.skinfold.birth_year,BiB_AgeOfWonder_Measurements.skinfold,BiB_AgeOfWonder_Measurements,skinfold,birth_year,Year of birth,integer,,age,6575,6575
BiB_AgeOfWonder_Measurements.skinfold.birth_month,BiB_AgeOfWonder_Measurements.skinfold,BiB_AgeOfWonder_Measurements,skinfold,birth_month,Month of birth,integer,,age,6575,6575
BiB_AgeOfWonder_Measurements.skinfold.recruitment_era,BiB_AgeOfWonder_Measurements.skinfold,BiB_AgeOfWonder_Measurements,skinfold,recruitment_era,Recruitment era (academic year),text,,administration,6575,6575
BiB_AgeOfWonder_Measurements.skinfold.age_recruitment_y,BiB_AgeOfWonder_Measurements.skinfold,BiB_AgeOfWonder_Measurements,skinfold,age_recruitment_y,Age at recruitment in years,integer,,,6575,6575
BiB_AgeOfWonder_Measurements.skinfold.age_recruitment_m,BiB_AgeOfWonder_Measurements.skinfold,BiB_AgeOfWonder_Measurements,skinfold,age_recruitment_m,Age at recruitment in months,integer,,,6575,6575
BiB_AgeOfWonder_Measurements.skinfold.school_id,BiB_AgeOfWonder_Measurements.skinfold,BiB_AgeOfWonder_Measurements,skinfold,school_id,Pseudo school ID,text,,administration,6575,6575
BiB_AgeOfWonder_Measurements.skinfold.year_group,BiB_AgeOfWonder_Measurements.skinfold,BiB_AgeOfWonder_Measurements,skinfold,year_group,Year group at recruitment,categorical,[-1 various - see module specific data] [7 Year 7] [8 Year 8] [9 Year 9] [10 Year 10] [11 Year 11] [12 Year 12] [13 Year 13],education,6575,6575
BiB_AgeOfWonder_Measurements.skinfold.form_tutor_id,BiB_AgeOfWonder_Measurements.skinfold,BiB_AgeOfWonder_Measurements,skinfold,form_tutor_id,Pseudo recruitment form tutor ID,text,,administration,6575,6575
BiB_AgeOfWonder_Measurements.skinfold.gender,BiB_AgeOfWonder_Measurements.skinfold,BiB_AgeOfWonder_Measurements,skinfold,gender,Gender reported by school,categorical,[1 Female] [2 Male],gender,6575,6575
BiB_AgeOfWonder_Measurements.skinfold.ethnicity_1,BiB_AgeOfWonder_Measurements.skinfold,BiB_AgeOfWonder_Measurements,skinfold,ethnicity_1,Ethnicity reported by school - higher level category,categorical,"[1 Asian or Asian British] [2 Black, Black British, Caribbean or African] [3 Mixed or multiple ethnic groups] [4 White] [5 Other ethnic group] [97 Data provided but ethnicity not stated] [98 Data provided but unmapped] [99 Data not provided]",ethnic_group,6574,6574
BiB_AgeOfWonder_Measurements.skinfold.ethnicity_2,BiB_AgeOfWonder_Measurements.skinfold,BiB_AgeOfWonder_Measurements,skinfold,ethnicity_2,Ethnicity reported by school - lower level category,categorical,"[11 Indian] [12 Pakistani] [13 Bangladeshi] [14 Chinese] [15 Any other Asian background] [21 Caribbean] [22 African] [23 Any other Black, Black British, or Caribbean background] [31 White and Black Caribbean] [32 White and Black African] [33 White and Asian] [34 Any other Mixed or multiple ethnic background] [41 English, Welsh, Scottish, Northern Irish or British] [42 Irish] [43 Gypsy or Irish Traveller] [44 Roma] [45 Any other White background] [51 Arab] [52 Any other ethnic group] [97 Data provided but ethnicity not stated] [98 Data provided but unmapped] [99 Data not provided]",ethnic_group,6566,6566
BiB_AgeOfWonder_Measurements.skinfold.age_m,BiB_AgeOfWonder_Measurements.skinfold,BiB_AgeOfWonder_Measurements,skinfold,age_m,Age in months at measurement,integer,,,6575,6575
BiB_AgeOfWonder_Measurements.skinfold.age_y,BiB_AgeOfWonder_Measurements.skinfold,BiB_AgeOfWonder_Measurements,skinfold,age_y,Age in years at measurement,integer,,,6575,6575
BiB_AgeOfWonder_Measurements.skinfold.date_measurement,BiB_AgeOfWonder_Measurements.skinfold,BiB_AgeOfWonder_Measurements,skinfold,date_measurement,Date of measurement,date,,,6575,6575
BiB_AgeOfWonder_Measurements.skinfold.sk_tricep,BiB_AgeOfWonder_Measurements.skinfold,BiB_AgeOfWonder_Measurements,skinfold,sk_tricep,Triceps skinfold (mm),float,,anthropometry,6504,6504
BiB_AgeOfWonder_Measurements.skinfold.sk_subscap,BiB_AgeOfWonder_Measurements.skinfold,BiB_AgeOfWonder_Measurements,skinfold,sk_subscap,Subscapular skinfold (mm),float,,anthropometry,4759,4759
