variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB4All_Geographic.bib4all_geog_property.property_id,BiB4All_Geographic.bib4all_geog_property,BiB4All_Geographic,bib4all_geog_property,property_id,Unique ID of property (BiB generated),text,,,11471,11471
BiB4All_Geographic.bib4all_geog_property.UPRN,BiB4All_Geographic.bib4all_geog_property,BiB4All_Geographic,bib4all_geog_property,UPRN,Unique property reference number (UPRN),text,,administration,11471,11471
BiB4All_Geographic.bib4all_geog_property.x_coordinate_bng,BiB4All_Geographic.bib4all_geog_property,BiB4All_Geographic,bib4all_geog_property,x_coordinate_bng,X coordinate (BNG),integer,,location,11471,11471
BiB4All_Geographic.bib4all_geog_property.y_coordinate_bng,BiB4All_Geographic.bib4all_geog_property,BiB4All_Geographic,bib4all_geog_property,y_coordinate_bng,Y coordinate (BNG),float,,location,11471,11471
BiB4All_Geographic.bib4all_geog_property.x_coordinate_wgs84,BiB4All_Geographic.bib4all_geog_property,BiB4All_Geographic,bib4all_geog_property,x_coordinate_wgs84,X coordinate (WGS84),float,,housing,11471,11471
BiB4All_Geographic.bib4all_geog_property.y_coordinate_wgs84,BiB4All_Geographic.bib4all_geog_property,BiB4All_Geographic,bib4all_geog_property,y_coordinate_wgs84,Y coordinate (WGS84),float,,location,11471,11471
BiB4All_Geographic.bib4all_geog_property.postcode,BiB4All_Geographic.bib4all_geog_property,BiB4All_Geographic,bib4all_geog_property,postcode,Postcode of address,text,,location,11471,11471
BiB4All_Geographic.bib4all_geog_property.LSOA11CD,BiB4All_Geographic.bib4all_geog_property,BiB4All_Geographic,bib4all_geog_property,LSOA11CD,LSOA 2011 code,text,,location,11471,11471
BiB4All_Geographic.bib4all_geog_property.WD21CD,BiB4All_Geographic.bib4all_geog_property,BiB4All_Geographic,bib4all_geog_property,WD21CD,Ward 2021 code,text,,location,11471,11471
BiB4All_Geographic.bib4all_geog_property.property_type,BiB4All_Geographic.bib4all_geog_property,BiB4All_Geographic,bib4all_geog_property,property_type,Property type,categorical,[1 Terraced] [2 Semi-Detached] [3 Detached] [4 Flat (including Maisonette/Apartment)] [5 Other],housing,11471,11471
BiB4All_Geographic.bib4all_geog_property.is_in_bfd_la,BiB4All_Geographic.bib4all_geog_property,BiB4All_Geographic,bib4all_geog_property,is_in_bfd_la,Is participant in Bradford LA?,categorical,[0 No] [1 Yes],location,11471,11471
BiB4All_Geographic.bib4all_geog_property.is_in_bibbs_area,BiB4All_Geographic.bib4all_geog_property,BiB4All_Geographic,bib4all_geog_property,is_in_bibbs_area,Is participant in BiBBS area?,categorical,[0 No] [1 Yes],location,11471,11471
BiB4All_Geographic.bib4all_geog_property.is_in_caz,BiB4All_Geographic.bib4all_geog_property,BiB4All_Geographic,bib4all_geog_property,is_in_caz,Is participant in clean air zone (CAZ)?,categorical,[0 No] [1 Yes],location,11471,11471
